,Domain,Sub Domain,Product Title,Product Link,Review Content,Image,Aspect_1,Label_1,Cause_1,Aspect_2,Label_2,Cause_2,Aspect_3,Label_3,Cause_3,Aspect_4,Label_4,Cause_4,Aspect_5,Label_5,Cause_5,Over All label,Summary
0,Mobile,OnePlus,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)",https://www.amazon.in/OnePlus-Eternal-Green-256GB-Storage/dp/B0BQJM2PXW/ref=cm_cr_arp_d_product_top?ie=UTF8,I have been using this phone from last one week. Pros Display Performance Bettery life Fast charging Rear camera Cons Front camera Ip rating.,https://m.media-amazon.com/images/I/81HuZpWmd-L._SY88.jpg,Display,0,Display Performance,Battery,0,Fast Charging,Camera,1.0,Front camera Ip rating.,,,,,,,1,"Comprehensive Summary: OnePlus 11 5G - Navigating Brilliance and Caveats
 

 The OnePlus 11 5G, amid high expectations, presents a diverse spectrum of reviews that potential buyers should carefully consider. Here's a consolidated overview:
 

 Pros:
 

 Performance and Display: The Snapdragon 8 Gen 1 processor ensures a swift experience, complemented by a vibrant display with a 120Hz refresh rate and Dolby Vision support.
 Battery and Charging: The phone earns praise for its remarkable battery life and the standout feature of 100W fast charging, allowing a full charge in under 30 minutes.
 Camera System: The Hasselblad-backed camera system, especially the rear setup, is celebrated for exceptional photography and 8K video recording.
 Build and Design: Users appreciate the well-crafted device, noting its premium feel and the elegant marble finish.
 Software Updates: The promise of five years of software updates from OnePlus is seen as a positive commitment.
 Cons:
 

 Front Camera and Durability: Some users express dissatisfaction with the front camera's performance, particularly in low-light conditions. Durability concerns, including dead spots on the screen, are reported.
 Software Bugs: Notable reports highlight software bugs, suggesting the need for regular updates to address these issues.
 Competitor Comparisons: While competitive in its price range, the OnePlus 11 faces critiques for lacking features offered by competitors, such as wireless charging and IP ratings.
 Customer Support: Dissatisfaction with OnePlus customer support is mentioned, with users citing unresponsive service centers and difficulty in issue resolution under warranty.
 Conclusion:
 The OnePlus 11 5G emerges as a robust player in the smartphone market, delivering impressive performance, a stellar display, and a commendable camera system. However, potential buyers are cautioned to consider reported drawbacks like front camera concerns, software bugs, and durability issues. Acknowledging the phone's value for money, users are encouraged to stay informed about software updates and carefully evaluate their specific preferences and requirements before making a purchase."
1,Mobile,OnePlus,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)",https://www.amazon.in/OnePlus-Eternal-Green-256GB-Storage/dp/B0BQJM2PXW/ref=cm_cr_arp_d_product_top?ie=UTF8,The media could not be loaded. Everything function is good.,https://m.media-amazon.com/images/I/71MJE2P+8AL._SY88.jpg,Media,1,The media could not be loaded,Performance,0,Everything function is good,,,,,,,,,,1,
2,Mobile,OnePlus,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)",https://www.amazon.in/OnePlus-Eternal-Green-256GB-Storage/dp/B0BQJM2PXW/ref=cm_cr_arp_d_product_top?ie=UTF8,Over all Good Experience but this phone is so bugy. Need to update and fix this issue,https://m.media-amazon.com/images/I/61Jb5nuSEAL._SY88.jpg,Product_Quality,0,Over all Good Experience,Software,1,this phone is so bugy Need to update and fix this issue,,,,,,,,,,1,
3,Mobile,OnePlus,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)",https://www.amazon.in/OnePlus-Eternal-Green-256GB-Storage/dp/B0BQJM2PXW/ref=cm_cr_arp_d_product_top?ie=UTF8,After using of 2 months I have seen dead spots on my screen and customer and service centre didn't help me with that even my phone under warranty So before investing a 60k think about it Just open OnePlus Twitter account you will found lots of users have same issue Or everything else Fine.. But as per the support and customer experience did not worth the price..,https://m.media-amazon.com/images/I/51aQnZXNnTL._SY88.jpg,Display,1,After using of 2 months I have seen dead spots on my screen,Customer_Service,1,customer and service centre didn't help me with that even my phone under warranty,Feedback,1.0,before investing a 60k think about it Just open OnePlus Twitter account you will found lots of users have same issue,Consumer_Safety,1.0,As per the support and customer experience did not worth the price,,,,1,
3,Mobile,OnePlus,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)",https://www.amazon.in/OnePlus-Eternal-Green-256GB-Storage/dp/B0BQJM2PXW/ref=cm_cr_arp_d_product_top?ie=UTF8,After using of 2 months I have seen dead spots on my screen and customer and service centre didn't help me with that even my phone under warranty So before investing a 60k think about it Just open OnePlus Twitter account you will found lots of users have same issue Or everything else Fine.. But as per the support and customer experience did not worth the price..,https://m.media-amazon.com/images/I/611P-SNQtjL._SY88.jpg,Display,1,After using of 2 months I have seen dead spots on my screen,Customer_Service,1,customer and service centre didn't help me with that even my phone under warranty,Feedback,1.0,before investing a 60k think about it Just open OnePlus Twitter account you will found lots of users have same issue,Consumer_Safety,1.0,As per the support and customer experience did not worth the price,,,,1,
3,Mobile,OnePlus,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)",https://www.amazon.in/OnePlus-Eternal-Green-256GB-Storage/dp/B0BQJM2PXW/ref=cm_cr_arp_d_product_top?ie=UTF8,After using of 2 months I have seen dead spots on my screen and customer and service centre didn't help me with that even my phone under warranty So before investing a 60k think about it Just open OnePlus Twitter account you will found lots of users have same issue Or everything else Fine.. But as per the support and customer experience did not worth the price..,https://m.media-amazon.com/images/I/616ngoei9gL._SY88.jpg,Display,1,After using of 2 months I have seen dead spots on my screen,Customer_Service,1,customer and service centre didn't help me with that even my phone under warranty,Feedback,1.0,before investing a 60k think about it Just open OnePlus Twitter account you will found lots of users have same issue,Consumer_Safety,1.0,As per the support and customer experience did not worth the price,,,,1,
3,Mobile,OnePlus,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)",https://www.amazon.in/OnePlus-Eternal-Green-256GB-Storage/dp/B0BQJM2PXW/ref=cm_cr_arp_d_product_top?ie=UTF8,After using of 2 months I have seen dead spots on my screen and customer and service centre didn't help me with that even my phone under warranty So before investing a 60k think about it Just open OnePlus Twitter account you will found lots of users have same issue Or everything else Fine.. But as per the support and customer experience did not worth the price..,https://m.media-amazon.com/images/I/71EJzkDBnTL._SY88.jpg,Display,1,After using of 2 months I have seen dead spots on my screen,Customer_Service,1,customer and service centre didn't help me with that even my phone under warranty,Feedback,1.0,before investing a 60k think about it Just open OnePlus Twitter account you will found lots of users have same issue,Consumer_Safety,1.0,As per the support and customer experience did not worth the price,,,,1,
4,Mobile,OnePlus,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)",https://www.amazon.in/OnePlus-Eternal-Green-256GB-Storage/dp/B0BQJM2PXW/ref=cm_cr_arp_d_product_top?ie=UTF8,The media could not be loaded.,https://m.media-amazon.com/images/I/718tEsJ4kkL._SY88.jpg,Media,1,could not be loaded,,,,,,,,,,,,,1,
5,Mobile,OnePlus,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)",https://www.amazon.in/OnePlus-Eternal-Green-256GB-Storage/dp/B0BQJM2PXW/ref=cm_cr_arp_d_product_top?ie=UTF8,The media could not be loaded.,,Media,1,could not be loaded,,,,,,,,,,,,,1,
6,Mobile,OnePlus,"OnePlus 11 5G (Eternal Green, 16GB RAM, 256GB Storage)",https://www.amazon.in/OnePlus-Eternal-Green-256GB-Storage/dp/B0BQJM2PXW/ref=cm_cr_arp_d_product_top?ie=UTF8,"A wonderful marble finish, superfast charging, great portrait shots,a supersmooth experience with 16gb of RAM and fast 4.0 storage and 5 years of software update promise by OnePlus. That's it about the beast ! It's time to enjoy",https://m.media-amazon.com/images/I/718CRMSRzFL._SY88.jpg,Product_Quality,0,A wonderful marble finish,Charging,0,superfast charging,Camera,0.0,great portrait shots,Storage,0.0,16gb of RAM and fast 4.0 storage,Software,0.0,and 5 years of software update promise,0,
