complaint_reviews1
Domain,Sub Domain,Product Name,Product Link,Review,Review Date,Customer Name,Customer Rating,Customer Images,Colour,Finish,Formulation,Coverage,Complaint Label
Lipstick,Lakme,"Lakme 9 to 5 Weightless Mousse Lip & Cheek Color, Coffee Lite, 9 g",https://www.amazon.in/Lakme-Weightless-Mousse-Cheek-Coffee/dp/B01M4HB6NQ/ref=cm_cr_arp_d_product_top?ie=UTF8,The shade of the product recieved is different from the images shown in the product details and description. I don't want the product as the shades are totally different from the image. In the product details the colour was more like a brownish/nude shade and the product that i recieved is a red shade.,03 Sep 2022,S,1.0,['https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61K+cM5GvFL._SY88.jpg'],Coffee Lite,Matte,Liquid,Full Coverage,1
Lipstick,Lakme,"Lakme 9 to 5 Weightless Mousse Lip & Cheek Color, Coffee Lite, 9 g",https://www.amazon.in/Lakme-Weightless-Mousse-Cheek-Coffee/dp/B01M4HB6NQ/ref=cm_cr_arp_d_product_top?ie=UTF8,"MISTAKE... WORTH LESS N USELESS DRY INSIDE I got dry product, complete waste of money 😞dont go for online make up . Worst product ever nt even a single time i have used it,alll dry nothing inside, fooling people PLEASE DO NOT BUY",15 Aug 2022,Heroji Rao Khatkar,1.0,['https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/41mOsvlZvJL._SY88.jpg'],Coffee Lite,Matte,Liquid,Full Coverage,1
Lipstick,Lakme,"Lakme 9 to 5 Weightless Mousse Lip & Cheek Color, Coffee Lite, 9 g",https://www.amazon.in/Lakme-Weightless-Mousse-Cheek-Coffee/dp/B01M4HB6NQ/ref=cm_cr_arp_d_product_top?ie=UTF8,The lip shade is totally dried. I have previously purchased it from nykaa it has smooth texture and it's in liquid form. When you tag a product as not returnable then please do a quality check. As it's a waste of money and a real bad experience. Customer feel cheated... Plss don't waste your money buying this prdct on amazon,23 Jan 2021,Swathi Anveshi,1.0,['https://images-na.ssl-images-amazon.com/images/W/MEDIAX_792452-T1/images/I/91myqphDCyL._SY88.jpg'],Coffee Lite,Matte,Liquid,Full Coverage,1
Lipstick,Lakme,"Lakme 9 to 5 Weightless Mousse Lip & Cheek Color, Coffee Lite, 9 g",https://www.amazon.in/Lakme-Weightless-Mousse-Cheek-Coffee/dp/B01M4HB6NQ/ref=cm_cr_arp_d_product_top?ie=UTF8,The media could not be loaded. Its nothing but cheating.the lipstick is dry.and looking not fresh.Amazon is not ready to accept the same.,13 Aug 2022,Pravin Kumar Pandey,1.0,,Coffee Lite,Matte,Liquid,Full Coverage,1
Lipstick,Lakme,"Lakme 9 to 5 Weightless Mousse Lip & Cheek Color, Coffee Lite, 9 g",https://www.amazon.in/Lakme-Weightless-Mousse-Cheek-Coffee/dp/B01M4HB6NQ/ref=cm_cr_arp_d_product_top?ie=UTF8,"The media could not be loaded. Pointer broken out, not enough quantity of the content, damaged one",06 Sep 2022,Atithi Maske,1.0,['https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/6138WrbIeYL._SY88.jpg'],Coffee Lite,Matte,Liquid,Full Coverage,1
Lipstick,Lakme,"Lakme 9 to 5 Weightless Mousse Lip & Cheek Color, Coffee Lite, 9 g",https://www.amazon.in/Lakme-Weightless-Mousse-Cheek-Coffee/dp/B01M4HB6NQ/ref=cm_cr_arp_d_product_top?ie=UTF8,"The media could not be loaded. The product was opened , and it looked like a used product",29 Jul 2022,Deann Rebello,1.0,['https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71kXIUfnn8L._SY88.jpg'],Coffee Lite,Matte,Liquid,Full Coverage,1
Lipstick,Lakme,"Lakme 9 to 5 Weightless Mousse Lip & Cheek Color, Coffee Lite, 9 g",https://www.amazon.in/Lakme-Weightless-Mousse-Cheek-Coffee/dp/B01M4HB6NQ/ref=cm_cr_arp_d_product_top?ie=UTF8,"The media could not be loaded. No seal , nothing comes on the brush",06 May 2022,Shashi,1.0,,Coffee Lite,Matte,Liquid,Full Coverage,1
Lipstick,Lakme,"Lakme 9 to 5 Weightless Mousse Lip & Cheek Color, Coffee Lite, 9 g",https://www.amazon.in/Lakme-Weightless-Mousse-Cheek-Coffee/dp/B01M4HB6NQ/ref=cm_cr_arp_d_product_top?ie=UTF8,The product is completely dry.. Even It is not non returnable. Amazon should also see the kind of product they are delivering. It's disappointing . I have bought same product earlier that time it was good.Hope I get refund for my money,17 Aug 2020,Amazon Customer,1.0,['https://images-na.ssl-images-amazon.com/images/W/MEDIAX_792452-T1/images/I/61n0w3zioFL._SY88.jpg'],Coffee Lite,Matte,Liquid,Full Coverage,1
Lipstick,Lakme,"Lakme 9 to 5 Weightless Mousse Lip & Cheek Color, Coffee Lite, 9 g",https://www.amazon.in/Lakme-Weightless-Mousse-Cheek-Coffee/dp/B01M4HB6NQ/ref=cm_cr_arp_d_product_top?ie=UTF8,Zero stars for amz for sending bad product. It was completely dried up.,30 Mar 2022,Divya,1.0,['https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/71hnIMlqQ1L._SY88.jpg'],Coffee Lite,Matte,Liquid,Full Coverage,1
Lipstick,Lakme,"Lakme 9 to 5 Weightless Mousse Lip & Cheek Color, Coffee Lite, 9 g",https://www.amazon.in/Lakme-Weightless-Mousse-Cheek-Coffee/dp/B01M4HB6NQ/ref=cm_cr_arp_d_product_top?ie=UTF8,The item doesn't look like blush valvet shade,16 Jun 2022,karambir singh,1.0,['https://m.media-amazon.com/images/W/MEDIAX_792452-T1/images/I/61d4O9E-cNL._SY88.jpg'],Coffee Lite,Matte,Liquid,Full Coverage,1
